time_sec,signal
0.0,-0.0787
0.01,0.559
0.02,0.969
0.03,0.8195
0.04,0.7807
0.05,0.0523
0.06,-0.4102
0.07,-1.1003
0.08,-0.9134
0.09,-0.5121
0.1,0.0421
0.11,0.4013
0.12,0.9837
0.13,0.9597
0.14,0.735
0.15,-0.0199
0.16,-0.5663
0.17,-1.0217
0.18,-0.9658
0.19,-0.5122
0.2,-0.0971
0.21,0.4802
0.22,0.8847
0.23,1.0081
0.24,0.6664
0.25,0.0031
0.26,-0.6808
0.27,-0.8492
0.28,-0.8204
0.29,-0.5409
0.3,0.0893
0.31,0.7777
0.32,1.0403
0.33,0.9922
0.34,0.5272
0.35,-0.1055
0.36,-0.4055
0.37,-1.0476
0.38,-0.7691
0.39,-0.3898
0.4,-0.1342
0.41,0.6509
0.42,0.8292
0.43,0.8114
0.44,0.4471
0.45,-0.0792
0.46,-0.6688
0.47,-1.0415
0.48,-1.1073
0.49,-0.4232
0.5,-0.0877
0.51,0.7419
0.52,0.9366
0.53,0.7561
0.54,0.7295
0.55,-0.0254
0.56,-0.6988
0.57,-0.7587
0.58,-1.0326
0.59,-0.7789
0.6,-0.0971
0.61,0.6831
0.62,0.7533
0.63,0.848
0.64,0.7289
0.65,0.0805
0.66,-0.5528
0.67,-0.8922
0.68,-0.8127
0.69,-0.5206
0.7,0.061
0.71,0.7388
0.72,1.0077
0.73,0.9846
0.74,0.4792
0.75,-0.1274
0.76,-0.7381
0.77,-0.978
0.78,-1.0471
0.79,-0.5075
0.8,0.1579
0.81,0.4847
0.82,0.9111
0.83,1.0361
0.84,0.4504
0.85,0.1398
0.86,-0.5947
0.87,-1.1432
0.88,-0.8076
0.89,-0.5805
0.9,0.0644
0.91,0.737
0.92,1.1089
0.93,0.8823
0.94,0.392
0.95,0.1327
0.96,-0.4245
0.97,-1.1085
0.98,-1.0506
0.99,-0.7006
1.0,0.0865
1.01,0.7683
1.02,0.831
1.03,0.8903
1.04,0.7266
1.05,-0.0173
1.06,-0.7058
1.07,-0.9608
1.08,-1.1446
1.09,-0.4708
1.1,-0.052
1.11,0.5249
1.12,1.0479
1.13,0.9338
1.14,0.7839
1.15,-0.1265
1.16,-0.5823
1.17,-0.778
1.18,-0.8594
1.19,-0.5422
1.2,0.055
1.21,0.4888
1.22,0.9038
1.23,0.7757
1.24,0.4179
1.25,0.1662
1.26,-0.5364
1.27,-0.8811
1.28,-0.919
1.29,-0.7441
1.3,-0.0786
1.31,0.548
1.32,1.1325
1.33,1.1397
1.34,0.7855
1.35,0.1843
1.36,-0.6029
1.37,-1.0852
1.38,-0.7793
1.39,-0.7602
1.4,0.1194
1.41,0.4651
1.42,1.0079
1.43,1.0393
1.44,0.7136
1.45,-0.1415
1.46,-0.5214
1.47,-0.8188
1.48,-0.833
1.49,-0.6225
1.5,0.1985
1.51,0.6917
1.52,1.0109
1.53,1.063
1.54,0.5755
1.55,0.1134
1.56,-0.6956
1.57,-0.8694
1.58,-0.8761
1.59,-0.3946
1.6,0.0715
1.61,0.5804
1.62,1.0732
1.63,1.0706
1.64,0.531
1.65,0.0618
1.66,-0.6597
1.67,-0.9571
1.68,-0.9017
1.69,-0.7536
1.7,0.1588
1.71,0.4489
1.72,0.8723
1.73,0.9051
1.74,0.4219
1.75,0.0258
1.76,-0.6579
1.77,-0.774
1.78,-0.9388
1.79,-0.6497
1.8,0.033
1.81,0.6507
1.82,0.835
1.83,0.7799
1.84,0.505
1.85,0.0433
1.86,-0.5564
1.87,-0.8094
1.88,-1.0768
1.89,-0.607
1.9,0.114
1.91,0.4712
1.92,0.9121
1.93,0.9649
1.94,0.6316
1.95,0.0752
1.96,-0.3969
1.97,-1.1149
1.98,-0.7904
1.99,-0.5684
2.0,0.0546
2.01,0.5066
2.02,0.9488
2.03,0.8363
2.04,0.4192
2.05,0.1357
2.06,-0.5193
2.07,-1.1043
2.08,-1.1037
2.09,-0.6202
2.1,0.1308
2.11,0.5771
2.12,0.9739
2.13,0.9448
2.14,0.75
2.15,0.0802
2.16,-0.6892
2.17,-1.0852
2.18,-0.9112
2.19,-0.4939
2.2,-0.1359
2.21,0.5161
2.22,1.0294
2.23,0.9501
2.24,0.5065
2.25,-0.0137
2.26,-0.6175
2.27,-0.7511
2.28,-0.8807
2.29,-0.7156
2.3,-0.0558
2.31,0.6464
2.32,0.7593
2.33,0.7694
2.34,0.6824
2.35,0.1996
2.36,-0.4643
2.37,-1.1135
2.38,-0.9574
2.39,-0.4849
2.4,-0.1422
2.41,0.4731
2.42,0.9173
2.43,0.8018
2.44,0.4256
2.45,0.0636
2.46,-0.6513
2.47,-0.8396
2.48,-0.9294
2.49,-0.4229
2.5,-0.0863
2.51,0.5246
2.52,0.8517
