time_sec,signal
0.0,-0.1312
0.01,0.5448
0.02,0.861
0.03,0.7285
0.04,1.0192
0.05,0.7622
0.06,0.9382
0.07,0.3849
0.08,0.1307
0.09,-0.1529
0.1,-0.4831
0.11,-0.851
0.12,-1.1419
0.13,-1.0552
0.14,-1.042
0.15,-0.7082
0.16,-0.1494
0.17,0.1612
0.18,0.4583
0.19,0.8315
0.2,0.9393
0.21,0.9467
0.22,0.8608
0.23,0.6345
0.24,0.32
0.25,-0.0234
0.26,-0.2451
0.27,-0.5188
0.28,-0.748
0.29,-1.0109
0.3,-0.786
0.31,-0.651
0.32,-0.619
0.33,0.0078
0.34,0.0798
0.35,0.6352
0.36,0.7936
0.37,1.0819
0.38,1.0936
0.39,1.0275
0.4,0.7582
0.41,0.2027
0.42,-0.3166
0.43,-0.6517
0.44,-0.5816
0.45,-1.022
0.46,-1.1045
0.47,-1.0586
0.48,-0.7381
0.49,-0.4353
0.5,0.0944
0.51,0.2402
0.52,0.6651
0.53,1.0606
0.54,0.9736
0.55,0.8108
0.56,0.7378
0.57,0.3805
0.58,-0.0645
0.59,-0.2203
0.6,-0.6692
0.61,-0.7227
0.62,-1.078
0.63,-1.1386
0.64,-0.8619
0.65,-0.5948
0.66,-0.3873
0.67,0.1307
0.68,0.5342
0.69,0.8856
0.7,1.1211
0.71,1.022
0.72,1.0389
0.73,0.5322
0.74,0.4701
0.75,0.1883
0.76,-0.3953
0.77,-0.7799
0.78,-1.0094
0.79,-1.1028
0.8,-0.995
0.81,-0.8043
0.82,-0.6169
0.83,0.0076
0.84,0.4401
0.85,0.4455
0.86,0.9003
0.87,0.9591
0.88,0.9854
0.89,0.8486
0.9,0.565
0.91,0.3645
0.92,0.0521
0.93,-0.5672
0.94,-0.8265
0.95,-1.1348
0.96,-1.0345
0.97,-0.9941
0.98,-0.8123
0.99,-0.2308
1.0,0.0087
1.01,0.2603
1.02,0.5548
1.03,0.9451
1.04,1.1296
1.05,1.1068
1.06,0.8629
1.07,0.5863
1.08,-0.0045
1.09,-0.3939
1.1,-0.5198
1.11,-0.793
1.12,-1.1054
1.13,-1.0591
1.14,-1.0403
1.15,-0.5109
1.16,-0.2409
1.17,0.2618
1.18,0.6483
1.19,0.7779
1.2,0.8901
1.21,0.9107
1.22,0.9605
1.23,0.8628
1.24,0.2043
1.25,-0.0362
1.26,-0.2629
1.27,-0.8312
1.28,-0.8386
1.29,-1.0987
1.3,-0.9258
1.31,-0.5762
1.32,-0.6671
1.33,-0.0444
1.34,0.2787
1.35,0.731
1.36,0.7868
1.37,1.1551
1.38,1.1698
1.39,0.6729
1.4,0.5305
1.41,0.1466
1.42,0.0067
1.43,-0.3167
1.44,-0.6589
1.45,-0.8038
1.46,-0.9675
1.47,-0.7456
1.48,-0.7679
1.49,-0.525
1.5,0.0924
1.51,0.3467
1.52,0.4948
1.53,1.0266
1.54,0.8518
1.55,0.8485
1.56,0.6059
1.57,0.5294
1.58,-0.0075
1.59,-0.3239
1.6,-0.5656
1.61,-0.6622
1.62,-1.1745
1.63,-0.8118
1.64,-0.7488
1.65,-0.6832
1.66,-0.1138
1.67,0.1801
1.68,0.4673
1.69,0.6659
1.7,0.9287
1.71,0.9383
1.72,0.7424
1.73,0.5561
1.74,0.2773
1.75,-0.0141
1.76,-0.3338
1.77,-0.5799
1.78,-1.0608
1.79,-1.1494
1.8,-0.7973
1.81,-0.7539
1.82,-0.5908
1.83,-0.2345
1.84,0.3162
1.85,0.5726
1.86,0.803
1.87,1.1616
1.88,0.7897
1.89,0.8983
1.9,0.6653
1.91,0.2875
1.92,-0.0842
1.93,-0.6673
1.94,-0.5823
1.95,-1.1303
1.96,-1.0527
1.97,-0.9445
1.98,-0.5491
1.99,-0.2819
2.0,0.1372
2.01,0.3939
2.02,0.8789
2.03,0.8331
2.04,0.9583
2.05,0.9755
2.06,0.7005
2.07,0.3404
2.08,0.1974
2.09,-0.3073
2.1,-0.4396
2.11,-0.7791
2.12,-1.1777
2.13,-1.1387
2.14,-0.9693
2.15,-0.658
2.16,-0.3684
2.17,0.193
2.18,0.3719
2.19,0.7388
2.2,0.9099
2.21,1.197
2.22,0.8863
2.23,0.5033
2.24,0.5602
2.25,0.1893
2.26,-0.552
2.27,-0.5383
2.28,-0.8565
2.29,-0.8309
2.3,-0.9017
2.31,-0.7192
2.32,-0.3592
2.33,-0.311
2.34,0.0889
2.35,0.4365
2.36,0.6498
2.37,0.8769
2.38,0.7981
2.39,0.6895
2.4,0.5268
2.41,0.1155
2.42,-0.3012
2.43,-0.2981
2.44,-0.6021
2.45,-0.7905
2.46,-1.1642
2.47,-0.8687
2.48,-0.5118
2.49,-0.3921
2.5,0.0047
2.51,0.5222
2.52,0.8508
2.53,0.9358
2.54,0.9077
2.55,1.0454
2.56,0.8667
2.57,0.3966
2.58,0.107
2.59,-0.1708
2.6,-0.6991
2.61,-0.8897
2.62,-0.9629
2.63,-1.0356
2.64,-0.6876
2.65,-0.6663
2.66,-0.2575
2.67,0.2529
2.68,0.2941
2.69,0.704
2.7,0.8266
2.71,1.0164
2.72,1.0927
2.73,0.6431
2.74,0.5378
2.75,-0.1351
2.76,-0.1873
2.77,-0.755
2.78,-0.9746
2.79,-1.0901
2.8,-0.7997
2.81,-0.8841
2.82,-0.659
2.83,-0.3166
2.84,0.2691
2.85,0.6302
2.86,0.7835
2.87,1.0454
2.88,0.9891
2.89,0.9781
2.9,0.5294
2.91,0.3538
2.92,-0.117
2.93,-0.286
2.94,-0.6994
2.95,-0.7775
2.96,-1.0313
2.97,-0.8375
2.98,-0.8284
2.99,-0.4871
3.0,0.0443
3.01,0.2788
3.02,0.8201
3.03,0.7428
3.04,1.1405
3.05,1.1199
3.06,0.9688
3.07,0.3892
3.08,0.1776
3.09,-0.1958
3.1,-0.5064
3.11,-0.8791
3.12,-1.1409
3.13,-1.0181
3.14,-0.8243
3.15,-0.7408
3.16,-0.2897
3.17,0.3225
3.18,0.3416
3.19,0.9105
3.2,0.8628
3.21,1.0466
3.22,0.7492
3.23,0.8252
3.24,0.4452
3.25,-0.0848
3.26,-0.4271
3.27,-0.7434
3.28,-0.8944
3.29,-0.9599
3.3,-0.8918
3.31,-0.9678
3.32,-0.3834
3.33,0.0706
3.34,0.201
3.35,0.5078
3.36,0.8591
3.37,1.1035
3.38,0.9565
3.39,0.7951
3.4,0.4806
3.41,0.3773
3.42,-0.1933
3.43,-0.2942
3.44,-0.7273
3.45,-1.054
3.46,-1.0677
3.47,-0.716
3.48,-0.528
3.49,-0.1858
3.5,-0.1898
3.51,0.2707
3.52,0.8429
3.53,0.8248
3.54,1.0126
3.55,0.876
3.56,0.8185
3.57,0.4566
3.58,0.2556
3.59,-0.1578
3.6,-0.6158
3.61,-0.8586
3.62,-1.166
3.63,-0.9118
3.64,-0.8631
3.65,-0.7836
3.66,-0.4214
3.67,0.017
3.68,0.4456
3.69,0.7709
3.7,1.0105
3.71,1.1694
3.72,0.7665
3.73,0.5598
3.74,0.3366
3.75,-0.0393
3.76,-0.2612
3.77,-0.5249
3.78,-0.8699
3.79,-0.9214
3.8,-0.8525
3.81,-0.9336
3.82,-0.5367
3.83,-0.1787
3.84,0.0787
3.85,0.512
3.86,0.7146
3.87,1.0447
3.88,0.9003
3.89,0.7817
3.9,0.7619
3.91,0.2522
3.92,0.0632
3.93,-0.4293
3.94,-0.7609
3.95,-0.8246
3.96,-1.1149
3.97,-0.7476
3.98,-0.7196
3.99,-0.5441
4.0,0.026
4.01,0.2108
4.02,0.7125
4.03,0.9574
4.04,1.0872
4.05,1.0278
4.06,0.5748
4.07,0.2829
4.08,0.2096
4.09,-0.2275
4.1,-0.421
4.11,-0.8853
4.12,-1.1429
4.13,-1.1761
4.14,-1.0325
4.15,-0.7177
4.16,-0.1411
4.17,0.1521
4.18,0.6302
4.19,0.9287
4.2,0.9568
4.21,0.8555
4.22,0.7842
4.23,0.7252
4.24,0.2263
4.25,0.0074
4.26,-0.3643
4.27,-0.8729
4.28,-1.0744
4.29,-0.8189
4.3,-0.9549
4.31,-0.7835
4.32,-0.5095
4.33,-0.0052
4.34,0.3087
4.35,0.6616
4.36,0.8759
4.37,0.8399
4.38,0.8776
4.39,0.7545
4.4,0.4009
4.41,0.3002
4.42,0.0184
4.43,-0.3027
4.44,-0.9453
4.45,-1.0744
4.46,-0.9484
4.47,-1.097
4.48,-0.7965
4.49,-0.4097
4.5,0.1056
4.51,0.1857
4.52,0.5064
4.53,0.8001
4.54,0.8872
4.55,0.8148
4.56,0.8053
4.57,0.3512
4.58,-0.0722
4.59,-0.1019
4.6,-0.6056
4.61,-0.877
4.62,-1.0815
4.63,-0.8276
4.64,-0.6525
4.65,-0.7608
4.66,-0.1778
4.67,0.1953
4.68,0.5157
4.69,0.7359
4.7,0.9105
4.71,1.0827
4.72,0.7138
4.73,0.8318
4.74,0.2031
4.75,-0.132
4.76,-0.4165
4.77,-0.8815
4.78,-0.7519
4.79,-1.0396
4.8,-1.0059
4.81,-0.8365
4.82,-0.3332
4.83,-0.191
4.84,0.3092
4.85,0.7723
4.86,0.8132
4.87,1.1475
4.88,1.0038
4.89,0.7993
4.9,0.5746
4.91,0.1865
4.92,-0.1511
4.93,-0.5701
4.94,-0.9604
4.95,-0.8291
4.96,-1.1013
4.97,-1.0529
4.98,-0.806
4.99,-0.3502
