time_sec,signal
0.0,0.115
0.01,0.9268
0.02,0.7573
0.03,-0.1307
0.04,-1.0862
0.05,-0.6406
0.06,0.3683
0.07,0.9601
0.08,0.4199
0.09,-0.6523
0.1,-1.0322
0.11,-0.135
0.12,0.7261
0.13,0.9877
0.14,-0.0552
0.15,-0.7742
0.16,-0.4854
0.17,0.4065
0.18,0.9742
0.19,0.6777
0.2,-0.5739
0.21,-1.0206
0.22,-0.2446
0.23,0.6207
0.24,1.0051
0.25,0.0711
0.26,-1.0682
0.27,-0.6298
0.28,0.3431
0.29,1.0882
0.3,0.3993
0.31,-0.3945
0.32,-1.14
0.33,-0.5621
0.34,0.7688
0.35,1.0289
0.36,0.2358
0.37,-0.9517
0.38,-0.969
0.39,0.2819
0.4,0.7783
0.41,0.8501
0.42,-0.2461
0.43,-0.8946
0.44,-0.6046
0.45,0.6753
0.46,0.8175
0.47,0.1641
0.48,-0.6438
0.49,-0.9452
0.5,-0.0576
0.51,1.0426
0.52,0.7563
0.53,-0.1975
0.54,-0.9308
0.55,-0.4425
0.56,0.6564
0.57,0.8686
0.58,0.3148
0.59,-0.5648
0.6,-0.8747
0.61,0.0334
0.62,0.6544
0.63,0.9258
0.64,-0.1403
0.65,-0.7511
0.66,-0.7243
0.67,0.5305
0.68,0.8371
0.69,0.3983
0.7,-0.6794
0.71,-0.9387
0.72,-0.361
0.73,0.8415
0.74,0.8667
0.75,0.0434
0.76,-0.9325
0.77,-0.6677
0.78,0.1112
0.79,1.0776
0.8,0.6087
0.81,-0.43
0.82,-0.8214
0.83,-0.3423
0.84,0.5756
0.85,0.9502
0.86,0.1336
0.87,-0.6741
0.88,-0.7763
0.89,0.1554
0.9,1.1253
0.91,0.5293
0.92,-0.2626
0.93,-0.9359
0.94,-0.3213
0.95,0.7378
0.96,1.0163
0.97,0.3271
0.98,-0.5809
0.99,-0.8324
1.0,-0.1851
1.01,0.8322
1.02,0.8814
1.03,-0.3104
1.04,-0.8168
1.05,-0.6209
1.06,0.5793
1.07,1.1973
1.08,0.4143
1.09,-0.7962
1.1,-0.9401
1.11,-0.1857
1.12,1.0242
1.13,0.8214
1.14,-0.1892
1.15,-0.9498
1.16,-0.6092
1.17,0.5037
1.18,1.0484
1.19,0.4852
1.2,-0.5172
1.21,-1.0999
1.22,-0.1794
1.23,0.9091
1.24,1.0161
1.25,-0.0042
1.26,-1.0291
1.27,-0.5896
1.28,0.3788
1.29,1.0059
1.3,0.4576
1.31,-0.6163
1.32,-0.8857
1.33,-0.4737
1.34,0.5887
1.35,1.1365
1.36,-0.0074
1.37,-0.9054
1.38,-1.0073
1.39,0.1799
1.4,0.8059
1.41,0.759
1.42,-0.3735
1.43,-1.0049
1.44,-0.3995
1.45,0.3901
1.46,1.0589
1.47,0.1019
1.48,-0.7141
1.49,-0.8256
1.5,-0.1466
1.51,0.9879
1.52,0.8055
1.53,-0.3524
1.54,-0.9305
1.55,-0.7406
1.56,0.4516
1.57,1.1745
1.58,0.4389
1.59,-0.8226
1.6,-0.7593
1.61,0.0105
1.62,0.8068
1.63,0.7269
1.64,-0.0493
1.65,-1.1461
1.66,-0.6899
1.67,0.1855
1.68,1.1564
1.69,0.4033
1.7,-0.7435
1.71,-1.0587
1.72,-0.0635
1.73,0.635
1.74,0.8829
1.75,0.0277
1.76,-0.989
1.77,-0.7475
1.78,0.0669
1.79,0.9697
1.8,0.7797
1.81,1.2597
1.82,0.6737
1.83,1.1828
1.84,2.3556
1.85,2.3864
1.86,1.16
1.87,0.6834
1.88,0.9473
1.89,1.2647
1.9,2.0753
1.91,1.7878
1.92,1.5411
1.93,0.9078
1.94,0.6933
1.95,1.9857
1.96,2.4084
1.97,1.6639
1.98,0.2579
1.99,1.1009
2.0,0.9591
2.01,2.5505
2.02,2.9388
2.03,0.7631
2.04,0.3273
2.05,1.5002
2.06,2.1493
2.07,2.0823
2.08,1.8602
2.09,1.255
2.1,0.6686
2.11,1.1345
2.12,2.2679
2.13,2.489
2.14,0.8039
2.15,0.5818
2.16,0.5344
2.17,2.1277
2.18,2.5933
2.19,1.4375
2.2,-0.4661
2.21,-0.9122
2.22,-0.2217
2.23,0.758
2.24,0.9219
2.25,0.0067
2.26,-0.9335
2.27,-0.7566
2.28,0.299
2.29,0.844
2.3,0.5483
2.31,-0.4381
2.32,-1.1655
2.33,-0.2442
2.34,0.7737
2.35,0.8837
2.36,0.1887
2.37,-0.8183
2.38,-0.8759
2.39,0.0728
2.4,1.0137
2.41,0.5393
2.42,-0.222
2.43,-0.9859
2.44,-0.4283
2.45,0.727
2.46,0.8713
2.47,0.3446
2.48,-0.694
2.49,-1.0461
2.5,0.0316
2.51,0.9268
2.52,0.9478
2.53,-0.3047
2.54,-1.0862
2.55,-0.6112
2.56,0.3862
2.57,0.8889
2.58,0.5555
2.59,-0.8034
2.6,-0.8511
2.61,-0.2368
2.62,0.9793
2.63,0.9042
2.64,-0.2503
2.65,-0.883
2.66,-0.6009
2.67,0.2589
2.68,0.9813
2.69,0.4982
2.7,-0.5091
2.71,-0.8881
2.72,-0.085
2.73,0.7973
2.74,1.0454
2.75,0.0718
2.76,-0.7847
2.77,-0.9168
2.78,0.2499
2.79,0.9852
2.8,0.7232
2.81,-0.3025
2.82,-0.9474
2.83,-0.184
2.84,0.6906
2.85,0.9351
2.86,0.1997
2.87,-0.8266
2.88,-0.6571
2.89,0.002
2.9,0.9411
2.91,0.5218
2.92,-0.4188
2.93,-0.9505
2.94,-0.52
2.95,0.4067
2.96,0.799
2.97,0.3295
2.98,-0.5883
2.99,-0.9209
3.0,-0.1518
3.01,0.7591
3.02,0.9339
3.03,-0.4136
3.04,-0.7868
