time_sec,signal
0.0,-0.1355
0.01,0.7413
0.02,1.0051
0.03,0.8602
0.04,0.4948
0.05,-0.2422
0.06,-0.5045
0.07,-0.4853
0.08,0.2481
0.09,0.6205
0.1,1.2772
0.11,1.1458
0.12,0.362
0.13,-0.3532
0.14,-1.2161
0.15,-1.3842
0.16,-0.7321
0.17,0.0215
0.18,0.3728
0.19,0.4876
0.2,0.05
0.21,-0.5676
0.22,-1.1831
0.23,-1.2825
0.24,-0.7676
0.25,-0.0703
0.26,0.6824
0.27,1.2181
0.28,0.8612
0.29,0.3656
0.3,-0.0276
0.31,-0.6697
0.32,-0.4293
0.33,0.3085
0.34,0.9533
0.35,1.2768
0.36,1.066
0.37,0.3141
0.38,-0.5803
0.39,-1.2098
0.4,-1.3647
0.41,-0.6733
0.42,-0.0327
0.43,0.3358
0.44,0.6806
0.45,0.0422
0.46,-0.5946
0.47,-0.9079
0.48,-0.9915
0.49,-0.8144
0.5,0.0497
0.51,0.6279
0.52,1.2187
0.53,0.8926
0.54,0.5286
0.55,-0.3203
0.56,-0.6857
0.57,-0.3414
0.58,0.1184
0.59,0.9176
0.6,1.3147
0.61,0.8813
0.62,0.3532
0.63,-0.579
0.64,-1.1661
0.65,-1.077
0.66,-0.9201
0.67,-0.1918
0.68,0.285
0.69,0.6867
0.7,0.2441
0.71,-0.5899
0.72,-1.1173
0.73,-1.0182
0.74,-0.6694
0.75,-0.1871
0.76,0.8995
0.77,1.05
0.78,1.0489
0.79,0.3299
0.8,-0.0883
0.81,-0.475
0.82,-0.5699
0.83,0.2832
0.84,0.8644
0.85,1.2696
0.86,0.8788
0.87,0.2194
0.88,-0.266
0.89,-1.237
0.9,-1.1759
0.91,-0.858
0.92,-0.2856
0.93,0.4928
0.94,0.4081
0.95,0.354
0.96,-0.6429
0.97,-1.0981
0.98,-1.2262
0.99,-0.7236
1.0,0.1885
1.01,0.8171
1.02,1.3121
1.03,1.0414
1.04,0.5719
1.05,-0.2089
1.06,-0.6794
1.07,-0.3739
1.08,0.0344
1.09,0.6111
1.1,1.1726
1.11,1.1675
1.12,0.4903
1.13,-0.5524
1.14,-1.0977
1.15,-1.1303
1.16,-0.6149
1.17,-0.1081
1.18,0.5506
1.19,0.6205
1.2,0.2694
1.21,-0.4101
1.22,-1.2171
1.23,-1.0775
1.24,-0.6631
1.25,0.1003
1.26,0.923
1.27,1.0868
1.28,1.0794
1.29,0.4877
1.3,-0.0563
1.31,-0.5531
1.32,-0.2781
1.33,0.2691
1.34,0.61
1.35,1.2516
1.36,1.01
1.37,0.469
1.38,-0.3087
1.39,-1.115
1.4,-1.2346
1.41,-0.6107
1.42,-0.2219
1.43,0.5202
1.44,0.6998
1.45,0.2727
1.46,-0.3014
1.47,-1.0737
1.48,-1.2688
1.49,-0.8638
1.5,0.0415
1.51,0.9644
1.52,1.342
1.53,1.0345
1.54,0.4274
1.55,-0.2876
1.56,-0.7247
1.57,-0.4333
1.58,-0.0535
1.59,0.7475
1.6,1.1725
1.61,0.8651
1.62,0.3526
1.63,-0.2213
1.64,-1.1772
1.65,-1.0303
1.66,-0.827
1.67,-0.098
1.68,0.3481
1.69,0.4696
1.7,0.2582
1.71,-0.5128
1.72,-0.8857
1.73,-1.2349
1.74,-0.851
1.75,-0.1396
1.76,0.651
1.77,1.1313
1.78,1.1707
1.79,0.6158
1.8,-0.0232
1.81,-0.6596
1.82,-0.524
1.83,0.2637
1.84,0.9063
1.85,1.2288
1.86,1.1948
1.87,0.6056
1.88,-0.4619
1.89,-1.2485
1.9,-1.0448
1.91,-0.9485
1.92,-0.2149
1.93,0.4775
1.94,0.6459
1.95,0.302
1.96,-0.3926
1.97,-0.8505
1.98,-1.0969
1.99,-0.6828
2.0,0.0664
2.01,0.638
2.02,1.2921
2.03,0.9457
2.04,0.4295
2.05,-0.2017
2.06,-0.6506
2.07,-0.5449
2.08,0.0316
2.09,0.7121
2.1,1.2699
2.11,1.1266
2.12,0.5934
2.13,-0.2948
2.14,-1.2282
2.15,-1.1243
2.16,-0.7926
2.17,-0.0366
2.18,0.2586
2.19,0.7332
2.2,0.3626
2.21,-0.6154
2.22,-1.0935
2.23,-1.2663
2.24,-0.779
2.25,-0.1391
2.26,0.8269
2.27,1.1743
2.28,1.2236
2.29,0.4561
2.3,-0.4045
2.31,-0.4085
2.32,-0.5428
2.33,-0.0117
2.34,0.9572
2.35,1.1894
2.36,1.2512
2.37,0.2877
2.38,-0.3824
2.39,-0.8592
2.4,-1.1353
2.41,-0.8933
2.42,-0.0041
2.43,0.2617
2.44,0.6024
2.45,0.1704
2.46,-0.6293
2.47,-0.8643
2.48,-1.135
2.49,-0.7868
2.5,0.1898
2.51,0.7281
2.52,1.3519
2.53,0.974
2.54,0.5965
2.55,-0.2091
2.56,-0.7637
2.57,-0.4385
2.58,0.2707
2.59,0.6703
2.6,1.3091
2.61,0.8767
2.62,0.3415
2.63,-0.4101
2.64,-0.9795
2.65,-1.0231
2.66,-0.755
2.67,0.0754
2.68,0.5622
2.69,0.5271
2.7,0.2848
2.71,-0.5541
2.72,-0.8878
2.73,-1.2008
2.74,-0.7357
2.75,0.1712
2.76,0.7453
2.77,1.2634
2.78,0.989
2.79,0.3909
2.8,-0.0901
2.81,-0.5941
2.82,-0.6064
2.83,0.2836
2.84,0.8391
2.85,1.1867
2.86,1.0154
2.87,0.2822
2.88,-0.2613
2.89,-1.2345
2.9,-1.2746
2.91,-0.7757
2.92,-0.0487
2.93,0.5907
2.94,0.5478
2.95,0.0379
2.96,-0.5064
2.97,-0.9574
2.98,-1.2325
2.99,-0.6596
3.0,0.1406
3.01,0.6325
3.02,1.1706
3.03,0.849
3.04,0.4759
3.05,-0.1281
3.06,-0.6608
3.07,-0.4106
3.08,0.0572
3.09,0.9822
3.1,1.3405
3.11,1.2023
3.12,0.2568
3.13,-0.3772
3.14,-0.9208
