time_sec,signal
0.0,1.0
0.01,0.0113
0.02,0.0225
0.03,0.0336
0.04,0.0446
0.05,0.0552
0.06,0.0656
0.07,0.0755
0.08,0.0851
0.09,0.0942
0.1,0.1027
0.11,0.1106
0.12,0.1179
0.13,0.1246
0.14,0.1305
0.15,0.1357
0.16,0.1401
0.17,0.1438
0.18,0.1466
0.19,0.1486
0.2,0.1497
0.21,0.15
0.22,0.1494
0.23,0.148
0.24,0.1457
0.25,0.1427
0.26,0.1388
0.27,0.1341
0.28,0.1286
0.29,0.1225
0.3,0.1156
0.31,0.108
0.32,0.0999
0.33,0.0912
0.34,0.082
0.35,0.0723
0.36,0.0622
0.37,0.0517
0.38,0.0409
0.39,0.03
0.4,0.0188
0.41,0.0075
0.42,-0.0038
0.43,-0.0151
0.44,-0.0263
0.45,-0.0373
0.46,-0.0481
0.47,-0.0587
0.48,-0.0689
0.49,-0.0788
0.5,-0.0882
0.51,-0.0971
0.52,-0.1054
0.53,-0.1131
0.54,-0.1202
0.55,-0.1266
0.56,-0.1323
0.57,-0.1373
0.58,-0.1414
0.59,-0.1448
0.6,-0.1473
0.61,-0.149
0.62,-0.1499
0.63,-0.1499
0.64,-0.149
0.65,-0.1473
0.66,-0.1448
0.67,-0.1414
0.68,-0.1373
0.69,-0.1323
0.7,-0.1266
0.71,-0.1202
0.72,-0.1131
0.73,-0.1054
0.74,-0.0971
0.75,-0.0882
0.76,-0.0788
0.77,-0.0689
0.78,-0.0587
0.79,-0.0481
0.8,-0.0373
0.81,-0.0263
0.82,-0.0151
0.83,0.9962
0.84,0.0075
0.85,0.0188
0.86,0.03
0.87,0.0409
0.88,0.0517
0.89,0.0622
0.9,0.0723
0.91,0.082
0.92,0.0912
0.93,0.0999
0.94,0.108
0.95,0.1156
0.96,0.1225
0.97,0.1286
0.98,0.1341
0.99,0.1388
1.0,0.1427
1.01,0.1457
1.02,0.148
1.03,0.1494
1.04,0.15
1.05,0.1497
1.06,0.1486
1.07,0.1466
1.08,0.1438
1.09,0.1401
1.1,0.1357
1.11,0.1305
1.12,0.1246
1.13,0.1179
1.14,0.1106
1.15,0.1027
1.16,0.0942
1.17,0.0851
1.18,0.0755
1.19,0.0656
1.2,0.0552
1.21,0.0446
1.22,0.0336
1.23,0.0225
1.24,0.0113
1.25,0.0
1.26,-0.0113
1.27,-0.0225
1.28,-0.0336
1.29,-0.0446
1.3,-0.0552
1.31,-0.0656
1.32,-0.0755
1.33,-0.0851
1.34,-0.0942
1.35,-0.1027
1.36,-0.1106
1.37,-0.1179
1.38,-0.1246
1.39,-0.1305
1.4,-0.1357
1.41,-0.1401
1.42,-0.1438
1.43,-0.1466
1.44,-0.1486
1.45,-0.1497
1.46,-0.15
1.47,-0.1494
1.48,-0.148
1.49,-0.1457
1.5,-0.1427
1.51,-0.1388
1.52,-0.1341
1.53,-0.1286
1.54,-0.1225
1.55,-0.1156
1.56,-0.108
1.57,-0.0999
1.58,-0.0912
1.59,-0.082
1.6,-0.0723
1.61,-0.0622
1.62,-0.0517
1.63,-0.0409
1.64,-0.03
1.65,-0.0188
1.66,0.9925
1.67,0.0038
1.68,0.0151
1.69,0.0263
1.7,0.0373
1.71,0.0481
1.72,0.0587
1.73,0.0689
1.74,0.0788
1.75,0.0882
1.76,0.0971
1.77,0.1054
1.78,0.1131
1.79,0.1202
1.8,0.1266
1.81,0.1323
1.82,0.1373
1.83,0.1414
1.84,0.1448
1.85,0.1473
1.86,0.149
1.87,0.1499
1.88,0.1499
1.89,0.149
1.9,0.1473
1.91,0.1448
1.92,0.1414
1.93,0.1373
1.94,0.1323
1.95,0.1266
1.96,0.1202
1.97,0.1131
1.98,0.1054
1.99,0.0971
2.0,0.0882
2.01,0.0788
2.02,0.0689
2.03,0.0587
2.04,0.0481
2.05,0.0373
2.06,0.0263
2.07,0.0151
2.08,0.0038
2.09,-0.0075
2.1,-0.0188
2.11,-0.03
2.12,-0.0409
2.13,-0.0517
2.14,-0.0622
2.15,-0.0723
2.16,-0.082
2.17,-0.0912
2.18,-0.0999
2.19,-0.108
2.2,-0.1156
2.21,-0.1225
2.22,-0.1286
2.23,-0.1341
2.24,-0.1388
2.25,-0.1427
2.26,-0.1457
2.27,-0.148
2.28,-0.1494
2.29,-0.15
2.3,-0.1497
2.31,-0.1486
2.32,-0.1466
2.33,-0.1438
2.34,-0.1401
2.35,-0.1357
2.36,-0.1305
2.37,-0.1246
2.38,-0.1179
2.39,-0.1106
2.4,-0.1027
2.41,-0.0942
2.42,-0.0851
2.43,-0.0755
2.44,-0.0656
2.45,-0.0552
2.46,-0.0446
2.47,-0.0336
2.48,-0.0225
2.49,0.9887
2.5,-0.0
2.51,0.0113
2.52,0.0225
2.53,0.0336
2.54,0.0446
2.55,0.0552
2.56,0.0656
2.57,0.0755
2.58,0.0851
2.59,0.0942
2.6,0.1027
2.61,0.1106
2.62,0.1179
2.63,0.1246
2.64,0.1305
2.65,0.1357
2.66,0.1401
2.67,0.1438
2.68,0.1466
2.69,0.1486
2.7,0.1497
2.71,0.15
2.72,0.1494
2.73,0.148
2.74,0.1457
2.75,0.1427
2.76,0.1388
2.77,0.1341
2.78,0.1286
2.79,0.1225
2.8,0.1156
2.81,0.108
2.82,0.0999
2.83,0.0912
2.84,0.082
2.85,0.0723
2.86,0.0622
2.87,0.0517
2.88,0.0409
2.89,0.03
2.9,0.0188
2.91,0.0075
2.92,-0.0038
2.93,-0.0151
2.94,-0.0263
2.95,-0.0373
2.96,-0.0481
2.97,-0.0587
2.98,-0.0689
2.99,-0.0788
3.0,-0.0882
3.01,-0.0971
3.02,-0.1054
3.03,-0.1131
3.04,-0.1202
3.05,-0.1266
3.06,-0.1323
3.07,-0.1373
3.08,-0.1414
3.09,-0.1448
3.1,-0.1473
3.11,-0.149
3.12,-0.1499
3.13,-0.1499
3.14,-0.149
3.15,-0.1473
3.16,-0.1448
3.17,-0.1414
3.18,-0.1373
3.19,-0.1323
3.2,-0.1266
3.21,-0.1202
3.22,-0.1131
3.23,-0.1054
3.24,-0.0971
3.25,-0.0882
3.26,-0.0788
3.27,-0.0689
3.28,-0.0587
3.29,-0.0481
3.3,-0.0373
3.31,-0.0263
3.32,0.9849
3.33,-0.0038
3.34,0.0075
3.35,0.0188
3.36,0.03
3.37,0.0409
3.38,0.0517
3.39,0.0622
3.4,0.0723
3.41,0.082
3.42,0.0912
3.43,0.0999
3.44,0.108
3.45,0.1156
3.46,0.1225
3.47,0.1286
3.48,0.1341
3.49,0.1388
3.5,0.1427
3.51,0.1457
3.52,0.148
3.53,0.1494
3.54,0.15
3.55,0.1497
3.56,0.1486
3.57,0.1466
3.58,0.1438
3.59,0.1401
3.6,0.1357
3.61,0.1305
3.62,0.1246
3.63,0.1179
3.64,0.1106
3.65,0.1027
3.66,0.0942
3.67,0.0851
3.68,0.0755
3.69,0.0656
3.7,0.0552
3.71,0.0446
3.72,0.0336
3.73,0.0225
3.74,0.0113
3.75,0.0
3.76,-0.0113
3.77,-0.0225
3.78,-0.0336
3.79,-0.0446
3.8,-0.0552
3.81,-0.0656
3.82,-0.0755
3.83,-0.0851
3.84,-0.0942
3.85,-0.1027
3.86,-0.1106
3.87,-0.1179
3.88,-0.1246
3.89,-0.1305
3.9,-0.1357
3.91,-0.1401
3.92,-0.1438
3.93,-0.1466
3.94,-0.1486
3.95,-0.1497
3.96,-0.15
3.97,-0.1494
3.98,-0.148
3.99,-0.1457
4.0,-0.1427
4.01,-0.1388
