time_sec,signal
0.0,1.0985
0.01,0.0662
0.02,-0.0666
0.03,0.188
0.04,0.1328
0.05,0.0643
0.06,0.1062
0.07,0.2078
0.08,-0.034
0.09,-0.0124
0.1,0.167
0.11,0.1566
0.12,0.1707
0.13,0.0519
0.14,0.1265
0.15,0.0175
0.16,0.2394
0.17,0.2011
0.18,0.0435
0.19,0.2136
0.2,0.0843
0.21,0.0163
0.22,0.2325
0.23,0.1104
0.24,0.1483
0.25,0.0494
0.26,0.0208
0.27,-0.1093
0.28,-0.0061
0.29,-0.0997
0.3,0.0357
0.31,-0.169
0.32,-0.1406
0.33,0.0375
0.34,-0.1521
0.35,-0.1221
0.36,-0.0808
0.37,-0.1856
0.38,-0.2181
0.39,-0.2157
0.4,-0.1774
0.41,-0.1367
0.42,-0.1157
0.43,-0.1119
0.44,-0.2904
0.45,-0.2112
0.46,-0.2262
0.47,-0.2074
0.48,-0.1362
0.49,-0.1214
0.5,-0.1531
0.51,-0.0389
0.52,-0.0797
0.53,-0.227
0.54,-0.0156
0.55,-0.0072
0.56,-0.1745
0.57,0.0444
0.58,1.0914
0.59,-0.1222
0.6,0.1215
0.61,0.1176
0.62,0.0931
0.63,-0.0454
0.64,-0.0269
0.65,0.1458
0.66,0.0695
0.67,0.243
0.68,0.2489
0.69,0.2737
0.7,0.2393
0.71,0.0501
0.72,0.0464
0.73,0.1326
0.74,0.0122
0.75,0.2373
0.76,0.0769
0.77,0.2761
0.78,0.2281
0.79,0.0372
0.8,0.2572
0.81,0.1492
0.82,0.0996
0.83,-0.0126
0.84,0.1947
0.85,0.0163
0.86,0.1258
0.87,-0.011
0.88,-0.0077
0.89,-0.0359
0.9,0.0315
0.91,-0.0454
0.92,-0.1969
0.93,-0.1323
0.94,0.0072
0.95,-0.014
0.96,-0.0763
0.97,-0.1911
0.98,0.0031
0.99,-0.0933
1.0,-0.006
1.01,-0.2583
1.02,-0.0784
1.03,-0.2783
1.04,-0.0682
1.05,-0.0258
1.06,-0.2213
1.07,-0.0691
1.08,-0.1486
1.09,-0.1636
1.1,-0.077
1.11,-0.1015
1.12,0.0079
1.13,-0.0259
1.14,-0.0012
1.15,-0.1018
1.16,0.9517
1.17,-0.0771
1.18,-0.1254
1.19,-0.098
1.2,-0.0134
1.21,-0.066
1.22,0.214
1.23,0.032
1.24,0.0751
1.25,0.0856
1.26,0.1174
1.27,0.2528
1.28,0.0399
1.29,0.2099
1.3,0.1818
1.31,0.2789
1.32,0.201
1.33,0.2821
1.34,0.0057
1.35,0.1831
1.36,0.1374
1.37,0.2218
1.38,0.1061
1.39,0.0082
1.4,0.0155
1.41,0.072
1.42,0.1459
1.43,0.1884
1.44,0.1913
1.45,0.0608
1.46,-0.11
1.47,-0.0808
1.48,-0.0806
1.49,0.065
1.5,0.0844
1.51,-0.0167
1.52,-0.2043
1.53,-0.1901
1.54,-0.2488
1.55,-0.1857
1.56,-0.182
1.57,-0.1281
1.58,-0.1854
1.59,-0.2166
1.6,-0.0939
1.61,-0.1373
1.62,-0.2146
1.63,-0.2498
1.64,-0.2155
1.65,-0.1231
1.66,-0.2797
1.67,-0.0248
1.68,-0.1574
1.69,-0.2171
1.7,-0.1018
1.71,-0.0302
1.72,-0.1917
1.73,-0.1607
1.74,0.9357
1.75,0.0074
1.76,-0.0087
1.77,-0.0804
1.78,0.041
1.79,-0.0226
1.8,-0.0051
1.81,0.2117
1.82,-0.0521
1.83,0.0867
1.84,0.1875
1.85,0.2685
1.86,0.1245
1.87,0.1234
1.88,0.053
1.89,0.0827
1.9,0.2728
1.91,0.2996
1.92,0.2476
1.93,0.0203
1.94,0.1588
1.95,0.0306
1.96,0.2781
1.97,0.1672
1.98,0.2105
1.99,0.1715
2.0,0.0043
2.01,0.1557
2.02,0.1872
2.03,0.0622
2.04,-0.0184
2.05,0.1388
2.06,0.1472
2.07,0.0816
2.08,-0.0911
2.09,0.0615
2.1,0.0816
2.11,-0.1265
2.12,-0.0634
2.13,-0.2098
2.14,-0.179
2.15,-0.2542
2.16,-0.2511
2.17,-0.285
2.18,-0.2085
2.19,-0.1492
2.2,-0.0415
2.21,-0.2839
2.22,-0.1061
2.23,-0.044
2.24,-0.1747
2.25,-0.1654
2.26,-0.1123
2.27,-0.2278
2.28,-0.1928
2.29,-0.1604
2.3,-0.1776
2.31,-0.0782
2.32,1.079
2.33,0.1087
2.34,-0.141
2.35,0.0702
2.36,0.1021
2.37,0.1575
2.38,-0.0121
2.39,0.0077
2.4,0.1359
2.41,0.037
2.42,0.1104
2.43,0.0207
2.44,-0.0241
2.45,0.2338
2.46,0.0198
2.47,0.0804
2.48,0.1224
2.49,0.2353
2.5,0.285
2.51,0.0768
2.52,0.2644
2.53,0.2754
2.54,0.2252
2.55,0.0074
2.56,0.1084
2.57,0.1076
2.58,0.0478
2.59,0.2115
2.6,0.0117
2.61,-0.0238
2.62,0.0444
2.63,0.0174
2.64,0.107
2.65,0.1438
2.66,0.0782
2.67,-0.1627
2.68,-0.1205
2.69,-0.1469
2.7,0.0517
2.71,-0.1346
2.72,-0.0105
2.73,-0.0997
2.74,-0.2703
2.75,-0.2564
2.76,-0.1578
2.77,-0.1435
2.78,-0.0088
2.79,-0.2774
2.8,-0.135
2.81,-0.2336
2.82,-0.2636
2.83,-0.2637
2.84,-0.0849
2.85,-0.189
2.86,-0.0229
2.87,-0.1441
2.88,-0.0022
2.89,-0.0709
2.9,0.8881
2.91,-0.151
2.92,-0.1732
2.93,-0.0568
2.94,0.0211
2.95,0.1036
2.96,0.162
2.97,-0.0411
2.98,0.1594
2.99,0.1756
3.0,0.1151
3.01,0.2223
3.02,-0.0069
3.03,0.1318
3.04,-0.0112
3.05,0.2081
3.06,0.0947
3.07,0.2134
3.08,0.017
3.09,0.2939
3.1,0.1228
3.11,0.0706
3.12,0.0462
3.13,0.1861
3.14,0.1756
3.15,-0.0019
3.16,0.0948
3.17,0.2278
3.18,0.1018
3.19,0.0995
3.2,0.1808
3.21,0.1332
