time_sec,signal
0.0,1.0
0.01,0.0075
0.02,0.0151
0.03,0.0225
0.04,0.03
0.05,0.0373
0.06,0.0446
0.07,0.0517
0.08,0.0587
0.09,0.0656
0.1,0.0723
0.11,0.0788
0.12,0.0851
0.13,0.0912
0.14,0.0971
0.15,0.1027
0.16,0.108
0.17,0.1131
0.18,0.1179
0.19,0.1225
0.2,0.1266
0.21,0.1305
0.22,0.1341
0.23,0.1373
0.24,0.1401
0.25,0.1427
0.26,0.1448
0.27,0.1466
0.28,0.148
0.29,0.149
0.3,0.1497
0.31,0.15
0.32,0.1499
0.33,0.1494
0.34,0.1486
0.35,0.1473
0.36,0.1457
0.37,0.1438
0.38,0.1414
0.39,0.1388
0.4,0.1357
0.41,0.1323
0.42,0.1286
0.43,0.1246
0.44,0.1202
0.45,0.1156
0.46,0.1106
0.47,0.1054
0.48,0.0999
0.49,0.0942
0.5,0.0882
0.51,0.082
0.52,0.0755
0.53,0.0689
0.54,0.0622
0.55,0.0552
0.56,0.0481
0.57,0.0409
0.58,0.0336
0.59,0.0263
0.6,0.0188
0.61,0.0113
0.62,0.0038
0.63,-0.0038
0.64,-0.0113
0.65,-0.0188
0.66,-0.0263
0.67,-0.0336
0.68,-0.0409
0.69,-0.0481
0.7,-0.0552
0.71,-0.0622
0.72,-0.0689
0.73,-0.0755
0.74,-0.082
0.75,-0.0882
0.76,-0.0942
0.77,-0.0999
0.78,-0.1054
0.79,-0.1106
0.8,-0.1156
0.81,-0.1202
0.82,-0.1246
0.83,-0.1286
0.84,-0.1323
0.85,-0.1357
0.86,-0.1388
0.87,-0.1414
0.88,-0.1438
0.89,-0.1457
0.9,-0.1473
0.91,-0.1486
0.92,-0.1494
0.93,-0.1499
0.94,-0.15
0.95,-0.1497
0.96,-0.149
0.97,-0.148
0.98,-0.1466
0.99,-0.1448
1.0,-0.1427
1.01,-0.1401
1.02,-0.1373
1.03,-0.1341
1.04,-0.1305
1.05,-0.1266
1.06,-0.1225
1.07,-0.1179
1.08,-0.1131
1.09,-0.108
1.1,-0.1027
1.11,-0.0971
1.12,-0.0912
1.13,-0.0851
1.14,-0.0788
1.15,-0.0723
1.16,-0.0656
1.17,-0.0587
1.18,-0.0517
1.19,-0.0446
1.2,-0.0373
1.21,-0.03
1.22,-0.0225
1.23,-0.0151
1.24,-0.0075
1.25,1.0
1.26,0.0075
1.27,0.0151
1.28,0.0225
1.29,0.03
1.3,0.0373
1.31,0.0446
1.32,0.0517
1.33,0.0587
1.34,0.0656
1.35,0.0723
1.36,0.0788
1.37,0.0851
1.38,0.0912
1.39,0.0971
1.4,0.1027
1.41,0.108
1.42,0.1131
1.43,0.1179
1.44,0.1225
1.45,0.1266
1.46,0.1305
1.47,0.1341
1.48,0.1373
1.49,0.1401
1.5,0.1427
1.51,0.1448
1.52,0.1466
1.53,0.148
1.54,0.149
1.55,0.1497
1.56,0.15
1.57,0.1499
1.58,0.1494
1.59,0.1486
1.6,0.1473
1.61,0.1457
1.62,0.1438
1.63,0.1414
1.64,0.1388
1.65,0.1357
1.66,0.1323
1.67,0.1286
1.68,0.1246
1.69,0.1202
1.7,0.1156
1.71,0.1106
1.72,0.1054
1.73,0.0999
1.74,0.0942
1.75,0.0882
1.76,0.082
1.77,0.0755
1.78,0.0689
1.79,0.0622
1.8,0.0552
1.81,0.0481
1.82,0.0409
1.83,0.0336
1.84,0.0263
1.85,0.0188
1.86,0.0113
1.87,0.0038
1.88,-0.0038
1.89,-0.0113
1.9,-0.0188
1.91,-0.0263
1.92,-0.0336
1.93,-0.0409
1.94,-0.0481
1.95,-0.0552
1.96,-0.0622
1.97,-0.0689
1.98,-0.0755
1.99,-0.082
2.0,-0.0882
2.01,-0.0942
2.02,-0.0999
2.03,-0.1054
2.04,-0.1106
2.05,-0.1156
2.06,-0.1202
2.07,-0.1246
2.08,-0.1286
2.09,-0.1323
2.1,-0.1357
2.11,-0.1388
2.12,-0.1414
2.13,-0.1438
2.14,-0.1457
2.15,-0.1473
2.16,-0.1486
2.17,-0.1494
2.18,-0.1499
2.19,-0.15
2.2,-0.1497
2.21,-0.149
2.22,-0.148
2.23,-0.1466
2.24,-0.1448
2.25,-0.1427
2.26,-0.1401
2.27,-0.1373
2.28,-0.1341
2.29,-0.1305
2.3,-0.1266
2.31,-0.1225
2.32,-0.1179
2.33,-0.1131
2.34,-0.108
2.35,-0.1027
2.36,-0.0971
2.37,-0.0912
2.38,-0.0851
2.39,-0.0788
2.4,-0.0723
2.41,-0.0656
2.42,-0.0587
2.43,-0.0517
2.44,-0.0446
2.45,-0.0373
2.46,-0.03
2.47,-0.0225
2.48,-0.0151
2.49,-0.0075
2.5,1.0
2.51,0.0075
2.52,0.0151
2.53,0.0225
2.54,0.03
2.55,0.0373
2.56,0.0446
2.57,0.0517
2.58,0.0587
2.59,0.0656
2.6,0.0723
2.61,0.0788
2.62,0.0851
2.63,0.0912
2.64,0.0971
2.65,0.1027
2.66,0.108
2.67,0.1131
2.68,0.1179
2.69,0.1225
2.7,0.1266
2.71,0.1305
2.72,0.1341
2.73,0.1373
2.74,0.1401
2.75,0.1427
2.76,0.1448
2.77,0.1466
2.78,0.148
2.79,0.149
2.8,0.1497
2.81,0.15
2.82,0.1499
2.83,0.1494
2.84,0.1486
2.85,0.1473
2.86,0.1457
2.87,0.1438
2.88,0.1414
2.89,0.1388
2.9,0.1357
2.91,0.1323
2.92,0.1286
2.93,0.1246
2.94,0.1202
2.95,0.1156
2.96,0.1106
2.97,0.1054
2.98,0.0999
2.99,0.0942
3.0,0.0882
3.01,0.082
3.02,0.0755
3.03,0.0689
3.04,0.0622
3.05,0.0552
3.06,0.0481
3.07,0.0409
3.08,0.0336
3.09,0.0263
3.1,0.0188
3.11,0.0113
3.12,0.0038
3.13,-0.0038
3.14,-0.0113
