time_sec,signal
0.0,1.2246
0.01,-0.1134
0.02,-0.1389
0.03,0.2425
0.04,-0.1755
0.05,-0.1773
0.06,0.2348
0.07,0.195
0.08,0.0995
0.09,0.17
0.1,0.2586
0.11,-0.0322
0.12,0.2332
0.13,-0.1195
0.14,0.1524
0.15,0.2828
0.16,0.224
0.17,0.3678
0.18,0.2126
0.19,0.1833
0.2,0.1646
0.21,0.3741
0.22,0.2329
0.23,-0.0992
0.24,0.176
0.25,0.3086
0.26,-0.003
0.27,-0.0246
0.28,0.097
0.29,0.2947
0.3,0.1037
0.31,0.0288
0.32,-0.0844
0.33,-0.0703
0.34,0.2103
0.35,0.1128
0.36,0.0262
0.37,0.2231
0.38,0.1137
0.39,0.0403
0.4,-0.2248
0.41,0.2316
0.42,-0.1804
0.43,0.1296
0.44,-0.1012
0.45,0.1293
0.46,0.0049
0.47,-0.2829
0.48,-0.3009
0.49,-0.1525
0.5,-0.0611
0.51,-0.047
0.52,-0.2649
0.53,-0.2157
0.54,-0.3039
0.55,-0.1273
0.56,0.0903
0.57,-0.2437
0.58,-0.0399
0.59,0.0743
0.6,-0.0244
0.61,-0.3441
0.62,-0.2387
0.63,-0.0641
0.64,-0.0538
0.65,-0.2862
0.66,-0.0819
0.67,-0.1166
0.68,-0.1518
0.69,-0.3559
0.7,-0.3558
0.71,-0.179
0.72,-0.16
0.73,-0.2258
0.74,-0.3101
0.75,-0.1681
0.76,-0.1834
0.77,0.148
0.78,0.0684
0.79,0.0428
0.8,-0.1133
0.81,0.0302
0.82,0.0695
0.83,1.0098
0.84,0.2567
0.85,0.1771
0.86,-0.143
0.87,0.2432
0.88,0.1078
0.89,0.1522
0.9,0.101
0.91,0.2769
0.92,0.2077
0.93,-0.0334
0.94,0.2499
0.95,-0.1296
0.96,0.0207
0.97,-0.0363
0.98,0.0489
0.99,0.0733
1.0,-0.034
1.01,0.3704
1.02,-0.0884
1.03,0.0465
1.04,0.1863
1.05,0.2905
1.06,-0.0837
1.07,0.0053
1.08,0.072
1.09,0.1791
1.1,0.0699
1.11,0.2536
1.12,0.308
1.13,0.025
1.14,-0.122
1.15,0.3323
1.16,0.1007
1.17,0.0724
1.18,0.0182
1.19,0.1528
1.2,0.2493
1.21,0.0671
1.22,0.1621
1.23,0.0861
1.24,-0.1018
1.25,0.2048
1.26,-0.1345
1.27,-0.0788
1.28,-0.2062
1.29,0.0632
1.3,0.0664
1.31,0.1379
1.32,0.0054
1.33,-0.2309
1.34,0.094
1.35,-0.0649
1.36,-0.2181
1.37,-0.0215
1.38,0.0711
1.39,0.0092
1.4,-0.3426
1.41,-0.2313
1.42,-0.0668
1.43,-0.2366
1.44,-0.055
1.45,-0.2572
1.46,0.0049
1.47,-0.0394
1.48,-0.0608
1.49,-0.3122
1.5,-0.2069
1.51,-0.2956
1.52,0.0961
1.53,-0.2569
1.54,-0.3353
1.55,-0.2581
1.56,0.1014
1.57,-0.2976
1.58,0.0895
1.59,0.0912
1.6,-0.0847
1.61,-0.1076
1.62,-0.2997
